Index	PG.MolecularWeight	PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	[1] C_Schulte_290621_260821_UMG_Fu_R1_1.raw.PG.Quantity	[2] C_Schulte_290621_260821_UMG_Fu_R1_10.raw.PG.Quantity	[3] C_Schulte_290621_260821_UMG_Fu_R1_11.raw.PG.Quantity	[4] C_Schulte_290621_260821_UMG_Fu_R1_12.raw.PG.Quantity	[5] C_Schulte_290621_260821_UMG_Fu_R1_13.raw.PG.Quantity	[6] C_Schulte_290621_260821_UMG_Fu_R1_14.raw.PG.Quantity	[7] C_Schulte_290621_260821_UMG_Fu_R1_15.raw.PG.Quantity	[8] C_Schulte_290621_260821_UMG_Fu_R1_16.raw.PG.Quantity	[9] C_Schulte_290621_260821_UMG_Fu_R1_17.raw.PG.Quantity	[10] C_Schulte_290621_260821_UMG_Fu_R1_18.raw.PG.Quantity	[11] C_Schulte_290621_260821_UMG_Fu_R1_19.raw.PG.Quantity	[12] C_Schulte_290621_260821_UMG_Fu_R1_2.raw.PG.Quantity	[13] C_Schulte_290621_260821_UMG_Fu_R1_20.raw.PG.Quantity	[14] C_Schulte_290621_260821_UMG_Fu_R1_21.raw.PG.Quantity	[15] C_Schulte_290621_260821_UMG_Fu_R1_22.raw.PG.Quantity	[16] C_Schulte_290621_260821_UMG_Fu_R1_23.raw.PG.Quantity	[17] C_Schulte_290621_260821_UMG_Fu_R1_24.raw.PG.Quantity	[18] C_Schulte_290621_260821_UMG_Fu_R1_25.raw.PG.Quantity	[19] C_Schulte_290621_260821_UMG_Fu_R1_26.raw.PG.Quantity	[20] C_Schulte_290621_260821_UMG_Fu_R1_27.raw.PG.Quantity	[21] C_Schulte_290621_260821_UMG_Fu_R1_28.raw.PG.Quantity	[22] C_Schulte_290621_260821_UMG_Fu_R1_29.raw.PG.Quantity	[23] C_Schulte_290621_260821_UMG_Fu_R1_3.raw.PG.Quantity	[24] C_Schulte_290621_260821_UMG_Fu_R1_30.raw.PG.Quantity	[25] C_Schulte_290621_260821_UMG_Fu_R1_31.raw.PG.Quantity	[26] C_Schulte_290621_260821_UMG_Fu_R1_32.raw.PG.Quantity	[27] C_Schulte_290621_260821_UMG_Fu_R1_33.raw.PG.Quantity	[28] C_Schulte_290621_260821_UMG_Fu_R1_34.raw.PG.Quantity	[29] C_Schulte_290621_260821_UMG_Fu_R1_35.raw.PG.Quantity	[30] C_Schulte_290621_260821_UMG_Fu_R1_36.raw.PG.Quantity	[31] C_Schulte_290621_260821_UMG_Fu_R1_37.raw.PG.Quantity	[32] C_Schulte_290621_260821_UMG_Fu_R1_38.raw.PG.Quantity	[33] C_Schulte_290621_260821_UMG_Fu_R1_39.raw.PG.Quantity	[34] C_Schulte_290621_260821_UMG_Fu_R1_4.raw.PG.Quantity	[35] C_Schulte_290621_260821_UMG_Fu_R1_40.raw.PG.Quantity	[36] C_Schulte_290621_260821_UMG_Fu_R1_5.raw.PG.Quantity	[37] C_Schulte_290621_260821_UMG_Fu_R1_6.raw.PG.Quantity	[38] C_Schulte_290621_260821_UMG_Fu_R1_7.raw.PG.Quantity	[39] C_Schulte_290621_260821_UMG_Fu_R1_8.raw.PG.Quantity	[40] C_Schulte_290621_260821_UMG_Fu_R1_9.raw.PG.Quantity	[41] C_Schulte_290621_260821_UMG_Fu_R2_1.raw.PG.Quantity	[42] C_Schulte_290621_260821_UMG_Fu_R2_10.raw.PG.Quantity	[43] C_Schulte_290621_260821_UMG_Fu_R2_11.raw.PG.Quantity	[44] C_Schulte_290621_260821_UMG_Fu_R2_12.raw.PG.Quantity	[45] C_Schulte_290621_260821_UMG_Fu_R2_13.raw.PG.Quantity	[46] C_Schulte_290621_260821_UMG_Fu_R2_14.raw.PG.Quantity	[47] C_Schulte_290621_260821_UMG_Fu_R2_15.raw.PG.Quantity	[48] C_Schulte_290621_260821_UMG_Fu_R2_16.raw.PG.Quantity	[49] C_Schulte_290621_260821_UMG_Fu_R2_17.raw.PG.Quantity	[50] C_Schulte_290621_260821_UMG_Fu_R2_18.raw.PG.Quantity	[51] C_Schulte_290621_260821_UMG_Fu_R2_19.raw.PG.Quantity	[52] C_Schulte_290621_260821_UMG_Fu_R2_2.raw.PG.Quantity	[53] C_Schulte_290621_260821_UMG_Fu_R2_20.raw.PG.Quantity	[54] C_Schulte_290621_260821_UMG_Fu_R2_21.raw.PG.Quantity	[55] C_Schulte_290621_260821_UMG_Fu_R2_22.raw.PG.Quantity	[56] C_Schulte_290621_260821_UMG_Fu_R2_23.raw.PG.Quantity	[57] C_Schulte_290621_260821_UMG_Fu_R2_24.raw.PG.Quantity	[58] C_Schulte_290621_260821_UMG_Fu_R2_25.raw.PG.Quantity	[59] C_Schulte_290621_260821_UMG_Fu_R2_26.raw.PG.Quantity	[60] C_Schulte_290621_260821_UMG_Fu_R2_27.raw.PG.Quantity	[61] C_Schulte_290621_260821_UMG_Fu_R2_28.raw.PG.Quantity	[62] C_Schulte_290621_260821_UMG_Fu_R2_29.raw.PG.Quantity	[63] C_Schulte_290621_260821_UMG_Fu_R2_3.raw.PG.Quantity	[64] C_Schulte_290621_260821_UMG_Fu_R2_30.raw.PG.Quantity	[65] C_Schulte_290621_260821_UMG_Fu_R2_31.raw.PG.Quantity	[66] C_Schulte_290621_260821_UMG_Fu_R2_32.raw.PG.Quantity	[67] C_Schulte_290621_260821_UMG_Fu_R2_33.raw.PG.Quantity	[68] C_Schulte_290621_260821_UMG_Fu_R2_34.raw.PG.Quantity	[69] C_Schulte_290621_260821_UMG_Fu_R2_35.raw.PG.Quantity	[70] C_Schulte_290621_260821_UMG_Fu_R2_36.raw.PG.Quantity	[71] C_Schulte_290621_260821_UMG_Fu_R2_37.raw.PG.Quantity	[72] C_Schulte_290621_260821_UMG_Fu_R2_38.raw.PG.Quantity	[73] C_Schulte_290621_260821_UMG_Fu_R2_39.raw.PG.Quantity	[74] C_Schulte_290621_260821_UMG_Fu_R2_4.raw.PG.Quantity	[75] C_Schulte_290621_260821_UMG_Fu_R2_40.raw.PG.Quantity	[76] C_Schulte_290621_260821_UMG_Fu_R2_5.raw.PG.Quantity	[77] C_Schulte_290621_260821_UMG_Fu_R2_6.raw.PG.Quantity	[78] C_Schulte_290621_260821_UMG_Fu_R2_7.raw.PG.Quantity	[79] C_Schulte_290621_260821_UMG_Fu_R2_8.raw.PG.Quantity	[80] C_Schulte_290621_260821_UMG_Fu_R2_9.raw.PG.Quantity
1	"17309.82;11798.67;17163.62;17091.55"	"A0A023T778;G3UZW7;P61327;Q9CQL1"	"Magohb;Magohb;Magoh;Magohb"	Mus musculus	"Mago nashi protein;Protein mago nashi homolog 2;Protein mago nashi homolog;Protein mago nashi homolog 2"	"A0A023T778_MOUSE;G3UZW7_MOUSE;MGN_MOUSE;MGN2_MOUSE"	2262.17	2062.13	1867.40	2341.59	1715.69	1746.72	2017.62	1906.25	2187.99	2588.13	1306.71	Filtered	Filtered	3359.49	4294.38	2648.73	3394.32	3666.10	3679.79	3621.18	Filtered	3339.10	Filtered	2889.95	3190.15	1567.48	Filtered	2481.90	Filtered	2385.47	1.00	Filtered	Filtered	3257.17	1940.87	1943.17	2403.59	13520.18	Filtered	Filtered	2051.42	Filtered	Filtered	3143.76	1303.19	2254.48	1949.51	2159.68	2999.39	1822.67	2520.90	2554.85	1326.27	2260.75	3277.47	2919.11	1714.88	3948.83	4413.77	4040.67	Filtered	3484.98	Filtered	2578.79	4421.31	1503.68	Filtered	2810.61	Filtered	Filtered	1084.64	Filtered	2660.66	2379.46	2286.89	4068.00	2311.01	15909.52	3021.56	Filtered
2	"99227.29;105108.7;105108.7-3;105108.7-4;105108.7-5"	"A0A067XG53;O70589;O70589-3;O70589-4;O70589-5"	Cask	Mus musculus	"Peripheral plasma membrane protein CASK (Fragment);Peripheral plasma membrane protein CASK;Isoform 3 of Peripheral plasma membrane protein CASK;Isoform 4 of Peripheral plasma membrane protein CASK;Isoform 5 of Peripheral plasma membrane protein CASK"	"A0A067XG53_MOUSE;CSKP_MOUSE;CSKP_MOUSE;CSKP_MOUSE;CSKP_MOUSE"	4363.46	5322.06	4752.39	4901.08	4019.96	4125.56	5942.41	5128.76	6173.28	6049.83	6962.61	5967.80	3052.95	2821.66	3750.86	4069.45	2026.73	2633.81	4227.22	3251.60	2271.59	2835.87	4595.79	4116.32	4131.41	5996.98	4095.58	4344.03	4420.75	4958.34	4918.97	4227.32	3981.13	4330.41	4275.27	3595.72	5052.66	3765.47	4351.01	3563.78	4583.90	4971.59	4836.05	4933.12	4071.91	3914.43	6122.54	5656.84	6093.48	5814.20	6968.90	3406.09	2622.38	3773.10	3263.55	3494.90	2133.73	2161.45	4153.13	3190.72	2765.28	4049.01	5232.56	3898.94	2493.06	6700.43	4234.13	4684.58	5991.39	3274.37	6177.38	4111.51	4767.10	3571.31	4129.25	4080.28	3760.25	4630.48	3513.57	3114.60
3	"13071.92;12220.78"	"A0A075B5J6;P01629"	"Gm20730;"	Mus musculus	"Predicted gene, 20730;Ig kappa chain V-II region 2S1.3"	"A0A075B5J6_MOUSE;KV2A4_MOUSE"	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	1821.65	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	1.00	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	40450.88	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	52314.86	Filtered	Filtered
4	"13223.04;13280.09;12496.16"	"A0A075B5K5;P01627;P01628"	"Igkv2-112;Gm5153;"	Mus musculus	"Immunoglobulin kappa variable 2-112;Ig kappa chain V-II region VKappa167;Ig kappa chain V-II region MOPC 511"	"A0A075B5K5_MOUSE;KV2A2_MOUSE;KV2A3_MOUSE"	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	5043.78	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	3747.44	Filtered	Filtered
5	12562.09	A0A075B5L7	Igkv4-80	Mus musculus	Immunoglobulin kappa variable 4-80 (Fragment)	A0A075B5L7_MOUSE	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	9531.86	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	10574.74	Filtered	Filtered
6	10345.4	A0A075B5M7	Igkv5-39	Mus musculus	Immunoglobulin kappa variable 5-39	A0A075B5M7_MOUSE	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	13271.86	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	1.00	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	15409.63	Filtered	Filtered
7	"13403.36;12579.16;13460.41;12636.22;12640.16;12717.46;14901.9;11949.4"	"A0A075B5N1;A0A075B5N2;A0A0G2JDJ8;A0A0G2JEI6;A0A140T8P2;P01632;P01634;P01657"	"Igkv7-33;Igkv6-29;Igkv7-33;Igkv6-29;Igkv6-20;Igkv7-33;;"	Mus musculus	"Ig kappa chain V-I region S107A;Immunoglobulin kappa chain variable 6-29;Ig kappa chain V-I region S107A (Fragment);Immunoglobulin kappa chain variable 6-29 (Fragment);Immunoglobulin kappa variable 6-20 (Fragment);Ig kappa chain V-I region S107A;Ig kappa chain V-V region MOPC 21;Ig kappa chain V-III region PC 2413"	"A0A075B5N1_MOUSE;A0A075B5N2_MOUSE;A0A0G2JDJ8_MOUSE;A0A0G2JEI6_MOUSE;A0A140T8P2_MOUSE;KV1A1_MOUSE;KV5A2_MOUSE;KV3A5_MOUSE"	1052.23	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	721.53	10414.63	Filtered	Filtered	653.85	Filtered	Filtered	Filtered	Filtered	4494.41	Filtered	833.03	Filtered	Filtered	Filtered	Filtered	Filtered	5420.99	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	420058.53	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	10098.29	Filtered	Filtered	Filtered	783.43	Filtered	Filtered	Filtered	3647.94	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	5534.30	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	427581.66	1490.02	Filtered
8	"10903.06;13084.61"	"A0A075B5N3;A0A0G2JE47"	Igkv8-28	Mus musculus	"Immunoglobulin kappa variable 8-28;Immunoglobulin kappa variable 8-28 (Fragment)"	"A0A075B5N3_MOUSE;A0A0G2JE47_MOUSE"	1545.17	3949.52	5901.09	636.55	2250.41	1054.32	1886.72	1839.93	9271.04	777.38	1436.72	1539.32	3102.87	2705.73	1292.00	1656.16	13143.35	1254.85	725.68	Filtered	2806.75	2932.98	7680.70	3213.89	29442.23	4409.30	1.00	Filtered	6233.74	5603.29	956.32	4258.39	5650.69	Filtered	2304.87	4281.66	2310.01	531592.00	4904.22	Filtered	2050.83	3568.25	6611.78	1225.44	2822.39	803.19	1951.27	2934.03	8935.63	503.54	1687.72	1584.72	4606.18	1104.46	1763.17	1338.68	11080.23	2150.77	829.55	1241.97	1788.81	1174.01	7655.37	1767.57	33569.22	3103.70	7108.48	1373.13	7765.84	5263.03	1907.55	9071.83	4099.13	3026.39	972.65	3336.77	2655.80	547353.13	7349.77	9630.57
9	"NaN;NaN;44259.42;44259.42-2"	"A0A075B5P3;A0A0A6YVP0;P01867;P01867-2"	"Ighg2b;Ighg2b;Igh-3;Igh-3"	Mus musculus	"Immunoglobulin heavy constant gamma 2B (Fragment);Immunoglobulin heavy constant gamma 2B (Fragment);Ig gamma-2B chain C region;Isoform 2 of Ig gamma-2B chain C region"	"A0A075B5P3_MOUSE;A0A0A6YVP0_MOUSE;IGG2B_MOUSE;IGG2B_MOUSE"	7772.44	8421.27	5104.31	6237.66	5213.74	5332.04	4112.06	4557.84	4992.84	4210.90	7151.35	12585.27	10796.19	5573.21	6604.14	4338.40	5148.71	4407.39	4841.74	3712.17	3558.47	2974.07	9634.44	4808.86	6793.28	5516.66	9827.53	5829.42	21613.70	11716.30	5585.83	10177.65	9893.82	8872.08	5757.26	9053.50	5394.37	6919.78	14309.38	8937.19	5021.18	10952.87	4757.12	11141.33	5590.91	9037.65	5794.83	4688.68	5135.54	5877.77	6838.91	10661.51	9921.02	5772.47	5002.83	4032.00	4182.06	3718.03	3722.88	6228.58	3452.86	5465.88	15733.24	6242.91	7246.20	7551.41	10041.49	6554.81	19016.11	11882.00	7434.51	6422.46	7477.72	14149.44	4284.69	10224.50	6421.22	12754.64	14596.12	11507.25
10	"NaN;NaN"	"A0A075B5P4;A0A0A6YWR2"	Ighg1	Mus musculus	Ig gamma-1 chain C region secreted form (Fragment)	"A0A075B5P4_MOUSE;A0A0A6YWR2_MOUSE"	Filtered	15266.61	Filtered	844.95	Filtered	Filtered	Filtered	Filtered	Filtered	1553.38	Filtered	Filtered	Filtered	735.52	Filtered	Filtered	Filtered	Filtered	1725.90	Filtered	Filtered	Filtered	2579.90	1105.52	Filtered	5075.34	4926.46	Filtered	2078.69	5587.52	3171.91	Filtered	Filtered	Filtered	Filtered	2467.58	Filtered	1531.09	Filtered	Filtered	Filtered	16167.31	Filtered	Filtered	Filtered	464.57	Filtered	1582.98	1506.93	1487.20	Filtered	2692.69	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	873.66	Filtered	1447.80	Filtered	Filtered	Filtered	2790.47	Filtered	Filtered	1759.62	4439.27	2759.06	2069.59	Filtered	Filtered	2401.97	6304.10	3577.04	Filtered	2328.93	Filtered
